BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
199507,3,1611,199507,3,1611,,10314233,"ALABAMA",1,1995,"July","Hail","C",73,"JEFFERSON",,"03-JUL-95 16:11:00","CST","03-JUL-95 16:11:00","0","0","0","0","0","0",,".75",,,,,"0","0",,,,,,,"Homewood",,,,,,,,,"*  Pinson,03,1638CST- *,,1645CST,,,?,?,?,?,Hail (1.75) Three-quarters inch hail was reported at Oxmoor Valley Golf Club in Homewood.  One inch hail was reported in the Trace Crossings area of Hoover just south of Interstate 459.  Three to four trees were also reported down in Hoover. Dime to golf ball-size hail was reported in Pinson lasting about seven minutes.","CSV"
199505,11,1750,199505,11,1750,,10314421,"ALABAMA",1,1995,"May","Hail","C",3,"BALDWIN",,"11-MAY-95 17:50:00","CST","11-MAY-95 17:50:00","0","0","0","0","0","0",,".75",,,,,"0","0",,,,,,,"Gulf Shores",,,,,,,,,"Dime-size hail was reported in Gulf Shores.  The storm that caused the hail then moved through Foley blowing some trees and power poles down south of the city.  The storm then blew trees and power lines down along Highway 90 near Seminole.  The storm then weakened some as it moved into Northwest Florida.","CSV"
199505,11,1820,199505,11,1820,,10314423,"ALABAMA",1,1995,"May","Thunderstorm Wind","C",3,"BALDWIN",,"11-MAY-95 18:20:00","CST","11-MAY-95 18:20:00","0","0","0","0",".5K","0",,"0",,,,,"0","0",,,,,,,"Seminole",,,,,,,,,"Dime-size hail was reported in Gulf Shores.  The storm that caused the hail then moved through Foley blowing some trees and power poles down south of the city.  The storm then blew trees and power lines down along Highway 90 near Seminole.  The storm then weakened some as it moved into Northwest Florida.","CSV"
199505,9,655,199505,9,655,,10313845,"ALABAMA",1,1995,"May","Thunderstorm Wind","C",97,"MOBILE",,"09-MAY-95 06:55:00","CST","09-MAY-95 06:55:00","0","0","0","0",".5K","0",,"0",,,,,"0","0",,,,,,,"Kushla",,,,,,,,,"Several trees were blown down along Highway 45 near Kushla.","CSV"
199505,9,1005,199505,9,1008,,10313846,"ALABAMA",1,1995,"May","Tornado","C",97,"MOBILE",,"09-MAY-95 10:05:00","CST","09-MAY-95 10:08:00","0","0","0","0","2K","0",,"0",,,,"F0",".1","50",,,,,,"NW","Mobile",,,,,,,,,"A tornado was observed to touch down near the intersection of McCrary and Stone roads in the Semmes community.  Three mobile homes were damaged.   Trees were reported down near Lott and Dairy roads which is around the same area as the tornado touched down.","CSV"
199505,11,1757,199505,11,1757,,10314422,"ALABAMA",1,1995,"May","Thunderstorm Wind","C",3,"BALDWIN",,"11-MAY-95 17:57:00","CST","11-MAY-95 17:57:00","0","0","0","0","1K","0",,"0",,,,,"0","0",,,,,,,"Foley",,,,,,,,,"Dime-size hail was reported in Gulf Shores.  The storm that caused the hail then moved through Foley blowing some trees and power poles down south of the city.  The storm then blew trees and power lines down along Highway 90 near Seminole.  The storm then weakened some as it moved into Northwest Florida.","CSV"
199507,8,1645,199507,8,1645,,10314424,"ALABAMA",1,1995,"July","Thunderstorm Wind","C",3,"BALDWIN",,"08-JUL-95 16:45:00","CST","08-JUL-95 16:45:00","0","0","0","0",".5K","0",,"0",,,,,"0","0",,,,,,,"Silverhill",,,,,,,,,"Trees were blown down in Silverhill.  EMA estimated wind speed of 60 mph.","CSV"
199507,9,1445,199507,9,1445,,10314425,"ALABAMA",1,1995,"July","Thunderstorm Wind","C",3,"BALDWIN",,"09-JUL-95 14:45:00","CST","09-JUL-95 14:45:00","0","0","0","0","1K","0",,"0",,,,,"0","0",,,,,,,"Stockton",,,,,,,,,"Several trees were blown across Highway 225 in Stockton.","CSV"
199507,9,1625,199507,9,1625,,10314426,"ALABAMA",1,1995,"July","Thunderstorm Wind","C",3,"BALDWIN",,"09-JUL-95 16:25:00","CST","09-JUL-95 16:25:00","0","0","0","0",".5K","0",,"0",,,,,"0","0",,,,,,,"Orange Beach",,,,,,,,,"A line of thunderstorms moved offshore south of Orange Beach and the Coast Guard had 25 to 30 boater assistance calls within a matter of minutes.  Some of the boats turned over but no one was injured.  The Coast Guard estimated wind speeds of 55 to 65 MPH.","CSV"
199507,10,410,199507,10,445,,10314427,"ALABAMA",1,1995,"July","Thunderstorm Wind","C",3,"BALDWIN",,"10-JUL-95 04:10:00","CST","10-JUL-95 04:45:00","0","0","0","0","4K","0",,"0",,,,,"0","0",,,,,,,"Fairhope/Silverhill/F",,,,,,,,,"Several trees were blown down by persistent thunderstorms in south central part of the county.","CSV"
