STATE,COUNTYNAME,CWA,TIME_ZONE,DST,Standard Time,Daylight Time
ME,Washington,CAR,Eastern Time,True,UTC-5,UTC-4
CT,Hartford,BOX,Eastern Time,True,UTC-5,UTC-4
CT,Tolland,BOX,Eastern Time,True,UTC-5,UTC-4
CT,Windham,BOX,Eastern Time,True,UTC-5,UTC-4
MA,Nantucket,BOX,Eastern Time,True,UTC-5,UTC-4
MD,Garrett,LWX,Eastern Time,True,UTC-5,UTC-4
VT,Windsor,BTV,Eastern Time,True,UTC-5,UTC-4
NH,Sullivan,GYX,Eastern Time,True,UTC-5,UTC-4
NH,Belknap,GYX,Eastern Time,True,UTC-5,UTC-4
NH,Cheshire,GYX,Eastern Time,True,UTC-5,UTC-4
NH,Strafford,GYX,Eastern Time,True,UTC-5,UTC-4
NY,Yates,BGM,Eastern Time,True,UTC-5,UTC-4
NY,Allegany,BUF,Eastern Time,True,UTC-5,UTC-4
NY,Broome,BGM,Eastern Time,True,UTC-5,UTC-4
NY,Cattaraugus,BUF,Eastern Time,True,UTC-5,UTC-4
NY,Chemung,BGM,Eastern Time,True,UTC-5,UTC-4
NY,Chenango,BGM,Eastern Time,True,UTC-5,UTC-4
NY,Cortland,BGM,Eastern Time,True,UTC-5,UTC-4
NY,Delaware,BGM,Eastern Time,True,UTC-5,UTC-4
NY,Genesee,BUF,Eastern Time,True,UTC-5,UTC-4
NY,Hamilton,ALY,Eastern Time,True,UTC-5,UTC-4
NY,Lewis,BUF,Eastern Time,True,UTC-5,UTC-4
NY,Livingston,BUF,Eastern Time,True,UTC-5,UTC-4
NY,Madison,BGM,Eastern Time,True,UTC-5,UTC-4
NY,Montgomery,ALY,Eastern Time,True,UTC-5,UTC-4
NY,Onondaga,BGM,Eastern Time,True,UTC-5,UTC-4
NY,Ontario,BUF,Eastern Time,True,UTC-5,UTC-4
NY,Orange,OKX,Eastern Time,True,UTC-5,UTC-4
NY,Otsego,BGM,Eastern Time,True,UTC-5,UTC-4
NY,Putnam,OKX,Eastern Time,True,UTC-5,UTC-4
NY,Rockland,OKX,Eastern Time,True,UTC-5,UTC-4
NY,Schoharie,ALY,Eastern Time,True,UTC-5,UTC-4
NY,Schuyler,BGM,Eastern Time,True,UTC-5,UTC-4
NY,Seneca,BGM,Eastern Time,True,UTC-5,UTC-4
NY,Steuben,BGM,Eastern Time,True,UTC-5,UTC-4
NY,Sullivan,BGM,Eastern Time,True,UTC-5,UTC-4
NY,Tioga,BGM,Eastern Time,True,UTC-5,UTC-4
NY,Tompkins,BGM,Eastern Time,True,UTC-5,UTC-4
NY,Wyoming,BUF,Eastern Time,True,UTC-5,UTC-4
PA,Adams,CTP,Eastern Time,True,UTC-5,UTC-4
PA,Allegheny,PBZ,Eastern Time,True,UTC-5,UTC-4
PA,Armstrong,PBZ,Eastern Time,True,UTC-5,UTC-4
PA,Beaver,PBZ,Eastern Time,True,UTC-5,UTC-4
PA,Bedford,CTP,Eastern Time,True,UTC-5,UTC-4
PA,Blair,CTP,Eastern Time,True,UTC-5,UTC-4
PA,Bradford,BGM,Eastern Time,True,UTC-5,UTC-4
PA,Butler,PBZ,Eastern Time,True,UTC-5,UTC-4
PA,Cambria,CTP,Eastern Time,True,UTC-5,UTC-4
PA,Cameron,CTP,Eastern Time,True,UTC-5,UTC-4
PA,Clarion,PBZ,Eastern Time,True,UTC-5,UTC-4
PA,Clearfield,CTP,Eastern Time,True,UTC-5,UTC-4
PA,Columbia,CTP,Eastern Time,True,UTC-5,UTC-4
PA,Crawford,CLE,Eastern Time,True,UTC-5,UTC-4
PA,Cumberland,CTP,Eastern Time,True,UTC-5,UTC-4
PA,Dauphin,CTP,Eastern Time,True,UTC-5,UTC-4
PA,Elk,CTP,Eastern Time,True,UTC-5,UTC-4
PA,Forest,PBZ,Eastern Time,True,UTC-5,UTC-4
PA,Franklin,CTP,Eastern Time,True,UTC-5,UTC-4
PA,Fulton,CTP,Eastern Time,True,UTC-5,UTC-4
PA,Greene,PBZ,Eastern Time,True,UTC-5,UTC-4
PA,Huntingdon,CTP,Eastern Time,True,UTC-5,UTC-4
PA,Indiana,PBZ,Eastern Time,True,UTC-5,UTC-4
PA,Jefferson,PBZ,Eastern Time,True,UTC-5,UTC-4
PA,Juniata,CTP,Eastern Time,True,UTC-5,UTC-4
PA,Lackawanna,BGM,Eastern Time,True,UTC-5,UTC-4
PA,Lancaster,CTP,Eastern Time,True,UTC-5,UTC-4
PA,Lawrence,PBZ,Eastern Time,True,UTC-5,UTC-4
PA,Lebanon,CTP,Eastern Time,True,UTC-5,UTC-4
PA,Luzerne,BGM,Eastern Time,True,UTC-5,UTC-4
PA,McKean,CTP,Eastern Time,True,UTC-5,UTC-4
PA,Mercer,PBZ,Eastern Time,True,UTC-5,UTC-4
PA,Mifflin,CTP,Eastern Time,True,UTC-5,UTC-4
PA,Montour,CTP,Eastern Time,True,UTC-5,UTC-4
PA,Perry,CTP,Eastern Time,True,UTC-5,UTC-4
PA,Pike,BGM,Eastern Time,True,UTC-5,UTC-4
