episode_id,event_id,state,county_fips,county_name,wfo,begin_date_time,county_timezone,end_date_time,injuries_direct,injuries_indirect,deaths_direct,deaths_indirect,property_damage,crop_damage,source,tornado_rating,max_windspeed,tornado_length,tornado_max_width,other_wfos,other_states,other_counties_fips,other_counties_names,begin_latitude,begin_longitude,end_latitude,end_longitude,episode_narrative,event_narrative,state_code,begin_date_time_corrected,end_date_time_corrected,begin_time_adjusted,end_time_adjusted
,10080760,New Mexico,9,Curry,,1979-04-18 17:09:00,CST,1979-04-18 17:09:00,0,0,0,0,25K,0,,,Unknown,0.0,33,,,,,34.6,-103.12,,,,,NM,1979-04-18 17:09:00,1979-04-18 17:09:00,False,False
,9977706,Alabama,47,Dallas,,1979-11-25 11:30:00,CST,1979-11-25 11:30:00,0,0,0,0,0K,0,,F0,Unknown,0.1,50,,,,,32.17,-86.92,,,,,AL,1979-11-25 11:30:00,1979-11-25 11:30:00,False,False
,9977707,Alabama,13,Butler,,1979-11-25 12:10:00,CST,1979-11-25 12:10:00,0,0,0,0,25K,0,,F2,Unknown,9.4,50,,,,,31.87,-86.67,31.98,-86.58,,,AL,1979-11-25 12:10:00,1979-11-25 12:10:00,False,False
,9977708,Alabama,85,Lowndes,,1979-11-25 12:20:00,CST,1979-11-25 12:20:00,12,0,0,0,25K,0,,F2,Unknown,13.5,50,,,,,31.98,-86.58,32.17,-86.5,,,AL,1979-11-25 12:20:00,1979-11-25 12:20:00,False,False
,9977709,Alabama,101,Montgomery,,1979-11-25 12:50:00,CST,1979-11-25 12:50:00,20,0,0,0,2.5M,0,,F3,Unknown,8.3,150,,,,,32.38,-86.25,32.5,-86.23,,,AL,1979-11-25 12:50:00,1979-11-25 12:50:00,False,False
,9977710,Alabama,51,Elmore,,1979-11-25 13:00:00,CST,1979-11-25 13:00:00,0,0,0,0,2.5M,0,,F3,Unknown,1.9,150,,,,,32.5,-86.23,32.52,-86.22,,,AL,1979-11-25 13:00:00,1979-11-25 13:00:00,False,False
,9977711,Alabama,51,Elmore,,1979-11-25 13:50:00,CST,1979-11-25 13:50:00,0,0,0,0,250K,0,,F2,Unknown,1.9,60,,,,,32.72,-85.92,32.73,-85.9,,,AL,1979-11-25 13:50:00,1979-11-25 13:50:00,False,False
,9977713,Alabama,123,Tallapoosa,,1979-11-25 13:52:00,CST,1979-11-25 13:52:00,2,0,0,0,250K,0,,F2,Unknown,25.0,60,,,,,32.73,-85.9,33.07,-85.73,,,AL,1979-11-25 13:52:00,1979-11-25 13:52:00,False,False
,10000743,Florida,101,Pasco,,1979-05-24 12:30:00,CST,1979-05-24 12:30:00,0,0,0,0,250K,0,,F1,Unknown,0.1,20,,,,,28.2,-82.75,,,,,FL,1979-05-24 13:30:00,1979-05-24 13:30:00,True,True
,10000134,Florida,85,Martin,,1979-01-24 04:55:00,CST,1979-01-24 04:55:00,0,0,0,0,250K,0,,,Unknown,9.6,20,,,,,26.98,-80.6,27.02,-80.45,,,FL,1979-01-24 04:55:00,1979-01-24 04:55:00,False,False
