event_id,fatality_type,FATALITY_DATE,fatality_age,fatality_sex,fatality_location
5480598,Direct,11/06/2005,33,M,Mobile/Trailer Home
5480598,Direct,11/06/2005,28,F,Mobile/Trailer Home
5480598,Direct,11/06/2005,4,M,Mobile/Trailer Home
5480598,Direct,11/06/2005,18,F,Vehicle/Towed Trailer
5479519,Direct,11/15/2005,63,M,Mobile/Trailer Home
5479578,Direct,11/27/2005,62,M,Permanent Home
5439830,Direct,03/22/2005,34,F,Mobile/Trailer Home
5436171,Direct,01/13/2005,70,M,Mobile/Trailer Home
5436171,Direct,01/13/2005,62,F,Mobile/Trailer Home
5468428,Direct,07/06/2005,18,M,In Water
5475742,Direct,08/18/2005,54,M,Permanent Home
5478316,Direct,09/24/2005,50,M,Mobile/Trailer Home
5480597,Direct,11/06/2005,54,M,Mobile/Trailer Home
5480597,Direct,11/06/2005,78,F,Mobile/Trailer Home
5480597,Direct,11/06/2005,64,M,Mobile/Trailer Home
5480597,Direct,11/06/2005,67,F,Mobile/Trailer Home
5480597,Direct,11/10/2005,28,F,Mobile/Trailer Home
5480597,Direct,12/17/2005,45,F,Mobile/Trailer Home
5482100,Direct,01/12/2005,83,M,Mobile/Trailer Home
5482100,Direct,01/12/2005,83,F,Mobile/Trailer Home
5480597,Direct,11/06/2005,5,M,Mobile/Trailer Home
5480597,Direct,11/06/2005,25,M,Mobile/Trailer Home
5480597,Direct,11/06/2005,56,F,Mobile/Trailer Home
5480597,Direct,11/06/2005,59,M,Mobile/Trailer Home
5480597,Direct,11/06/2005,6,F,Mobile/Trailer Home
5480597,Direct,11/06/2005,26,M,Mobile/Trailer Home
5480597,Direct,11/06/2005,46,F,Mobile/Trailer Home
5480597,Direct,11/06/2005,31,F,Mobile/Trailer Home
5480597,Direct,11/06/2005,28,M,Mobile/Trailer Home
5480597,Direct,11/06/2005,60,F,Mobile/Trailer Home
5480597,Direct,11/06/2005,2,M,Mobile/Trailer Home
5480597,Direct,11/06/2005,61,F,Mobile/Trailer Home
5480597,Direct,11/06/2005,46,F,Mobile/Trailer Home
5480597,Direct,11/06/2005,38,M,Mobile/Trailer Home
5484328,Direct,11/27/2005,33,M,Vehicle/Towed Trailer
